precinct,total_turnout,total2,pct_for_hardy2,pct_for_kolstad2,pct_for_nadeem2,total5,pct_for_caserta5,pct_not_caserta5,pct_for_lacoursiere5,pct_not_lacoursiere5,pct_for_park5,pct_not_park5,pct_asian_vote,pct_asian_pop,pct_ind_vote,pct_ind_pop,pct_e_asian_vote,pct_e_asian_pop,pct_non_asian_vote,pct_non_asian_pop
4201,712,658,0.2462006,0.4316109,0.3221884,642,0.4470405,0.5529595,0.3052959,0.6947041,0.2476636,0.7523364,0.0547753,0.1173687,0.008427,0.0286323,0.0463483,0.0887364,0.9452247,0.8826313
4208,400,380,0.3289474,0.4315789,0.2394737,379,0.4564644,0.5435356,0.1926121,0.8073879,0.3509235,0.6490765,0.1975,0.2143889,0.06,0.0759896,0.1375,0.1383993,0.8025,0.7856111
4211,609,549,0.2513661,0.3843352,0.3642987,542,0.4926199,0.5073801,0.2509225,0.7490775,0.2564576,0.7435424,0.1231527,0.2022136,0.0426929,0.0460664,0.0804598,0.1561472,0.8768473,0.7977864
4215,623,573,0.2582897,0.3717277,0.3699825,558,0.4318996,0.5681004,0.344086,0.655914,0.2240143,0.7759857,0.1091493,0.162014,0.0321027,0.0403789,0.0770466,0.1216351,0.8908507,0.837986
4217,399,359,0.2813371,0.4066852,0.3119777,355,0.4253521,0.5746479,0.3267606,0.6732394,0.2478873,0.7521127,0.1428571,0.2544781,0.0275689,0.0636195,0.1152882,0.1908586,0.8571429,0.7455219
4221,509,472,0.2605932,0.4025424,0.3368644,476,0.4747899,0.5252101,0.2542017,0.7457983,0.2710084,0.7289916,0.1198428,0.1697226,0.0255403,0.0437236,0.0943026,0.1259991,0.8801572,0.8302774
4222,518,453,0.2935982,0.384106,0.3222958,448,0.4419643,0.5580357,0.2723214,0.7276786,0.2857143,0.7142857,0.1003861,0.1702564,0.0328185,0.045641,0.0675676,0.1246154,0.8996139,0.8297436
4226,643,571,0.2732049,0.385289,0.3415061,562,0.4181495,0.5818505,0.2882562,0.7117438,0.2935943,0.7064057,0.0730949,0.1591768,0.0093313,0.0365393,0.0637636,0.1226375,0.9269051,0.8408232
4229,695,621,0.273752,0.4074074,0.3188406,615,0.3560975,0.6439025,0.3317073,0.6682927,0.3121951,0.6878049,0.1381295,0.2008014,0.028777,0.0725735,0.1093525,0.128228,0.8618705,0.7991986
4238,489,428,0.3364486,0.4182243,0.2453271,420,0.4166667,0.5833333,0.2261905,0.7738095,0.3571429,0.6428571,0.2126789,0.3075413,0.0572597,0.1068342,0.1554192,0.200707,0.7873211,0.6924587
